nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov,throughput_simple,waste_rate_simple,SBR_simple
8,95,5350000,0.05,0.01006553,0.010526316,2.263,9.25417,0.009681282,0.000845034,0.080278185,-0.086886,0.097412316,9.25417
1,160,5350000,0,0.006510671,0.00625,NaN,0,0.00625,0,0,0.00625,0,0
8,10,5350000,0.43,0.055525503,0.1,2.26276,11.00515,0.009305773,0.090694227,0.906942272,-1.000515,1.100515,11.00515
2096,45,5350000,0.37,0.013505908,0.022222222,2.263,29.01266,0.015002382,0.00721984,0.324892811,-0.622503556,0.644725778,29.01266
2096,60,5350000,0.29,0.010896686,0.016666667,2.26299,28.56218,0.012668564,0.003998102,0.239886147,-0.459369667,0.476036333,28.56218
1,190,5350000,0,0.005482698,0.005263158,NaN,0,0.005263158,0,0,0.005263158,0,0
1,30,5350000,0,0.034724212,0.033333333,NaN,0,0.033333333,0,0,0.033333333,0,0
512,110,5350000,0.18,0.006430595,0.009090909,2.26303,23.30085,0.008102434,0.000988475,0.108732293,-0.202735,0.211825909,23.30085
1,80,5350000,0,0.013021435,0.0125,NaN,0,0.0125,0,0,0.0125,0,0
8,150,5350000,0.1,0.007316713,0.006666667,2.26292,9.21904,0.006329001,0.000337666,0.050649845,-0.0547936,0.061460267,9.21904
128,135,5350000,0.12,0.007087847,0.007407407,2.26294,19.22446,0.006835278,0.00057213,0.077237533,-0.134996,0.142403407,19.22446
512,35,5350000,0.4,0.019802502,0.028571429,2.26302,24.9739,0.018106657,0.010464771,0.366266999,-0.684968571,0.71354,24.9739
1,65,5350000,0,0.016026419,0.015384615,NaN,0,0.015384615,0,0,0.015384615,0,0
8,125,5350000,0.08,0.007566364,0.008,2.26268,9.16632,0.007516542,0.000483458,0.060432238,-0.06533056,0.07333056,9.16632
512,125,5350000,0.13,0.007702152,0.008,2.26301,23.48627,0.007228433,0.000771567,0.096445841,-0.17989016,0.18789016,23.48627
128,5,5350000,0.79,0.042606639,0.2,2.26301,25.21447,-0.347038443,0.547038443,2.735192213,-4.842894,5.042894,25.21447
512,85,5350000,0.16,0.009390947,0.011764706,2.263,23.49657,0.010095361,0.001669345,0.14189432,-0.264665529,0.276430235,23.49657
1,185,5350000,0,0.005630873,0.005405405,NaN,0,0.005405405,0,0,0.005405405,0,0
32,95,5350000,0.1,0.009080417,0.010526316,2.26301,17.7736,0.00929378,0.001232535,0.11709087,-0.176564211,0.187090526,17.7736
128,135,5350000,0.13,0.005508401,0.007407407,2.26296,19.22446,0.006835278,0.00057213,0.077237533,-0.134996,0.142403407,19.22446
1,80,5350000,0,0.013021435,0.0125,NaN,0,0.0125,0,0,0.0125,0,0
2096,90,5350000,0.26,0.008474683,0.011111111,2.26302,28.16719,0.00935875,0.001752361,0.157712487,-0.301857667,0.312968778,28.16719
1,95,5350000,0,0.010965426,0.010526316,NaN,0,0.010526316,0,0,0.010526316,0,0
1,155,5350000,0,0.006720698,0.006451613,NaN,0,0.006451613,0,0,0.006451613,0,0
32,80,5350000,0.15,0.010747961,0.0125,2.26295,17.65755,0.010773281,0.001726719,0.138137533,-0.208219375,0.220719375,17.65755
512,95,5350000,0.15,0.009509055,0.010526316,2.26303,23.37121,0.009197045,0.001329271,0.126280723,-0.235486421,0.246012737,23.37121
512,175,5350000,0.1,0.004678366,0.005714286,2.26302,23.15499,0.005326182,0.000388104,0.067918176,-0.126599943,0.132314229,23.15499
128,120,5350000,0.15,0.007285605,0.008333333,2.26301,19.85272,0.007585568,0.000747766,0.089731883,-0.157106,0.165439333,19.85272
1,120,5350000,0,0.008680937,0.008333333,NaN,0,0.008333333,0,0,0.008333333,0,0
2096,90,5350000,0.16,0.008437166,0.011111111,2.26299,28.16719,0.00935875,0.001752361,0.157712487,-0.301857667,0.312968778,28.16719
8,145,5350000,0.04,0.006891332,0.006896552,2.2629,9.31322,0.006531506,0.000365046,0.052931663,-0.057332552,0.064229103,9.31322
1,165,5350000,0,0.006313414,0.006060606,NaN,0,0.006060606,0,0,0.006060606,0,0
512,75,5350000,0.17,0.009855003,0.013333333,2.26302,23.44776,0.011193607,0.002139727,0.1604795,-0.299303467,0.3126368,23.44776
512,10,5350000,0.68,0.030789909,0.1,2.26301,26.39911,-0.035509191,0.135509191,1.355091908,-2.539911,2.639911,26.39911
1,100,5350000,0,0.010417133,0.01,NaN,0,0.01,0,0,0.01,0,0
2096,160,5350000,0.15,0.005855201,0.00625,2.26298,27.91738,0.005700459,0.000549541,0.087926491,-0.168233625,0.174483625,27.91738
2096,190,5350000,0.13,0.004647029,0.005263158,2.26297,27.68001,0.004876769,0.000386388,0.073413801,-0.140421105,0.145684263,27.68001
32,20,5350000,0.42,0.028868752,0.05,2.26318,20.85648,0.017367356,0.032632644,0.652652873,-0.992824,1.042824,20.85648
8,190,5350000,0.07,0.004624087,0.005263158,2.2629,9.25419,0.005051899,0.000211259,0.040139179,-0.043443105,0.048706263,9.25419
128,170,5350000,0.08,0.005685328,0.005882353,2.26292,19.82151,0.00551035,0.000372003,0.063240577,-0.110714765,0.116597118,19.82151
2096,20,5350000,0.59,0.022650266,0.05,2.263,29.89566,0.012337146,0.037662854,0.753257071,-1.444783,1.494783,29.89566
8,185,5350000,0.1,0.005265941,0.005405405,2.26285,9.19583,0.005183978,0.000221427,0.04096405,-0.044301784,0.049707189,9.19583
128,155,5350000,0.09,0.006745504,0.006451613,2.26302,18.92,0.006024477,0.000427136,0.066206015,-0.115612903,0.122064516,18.92
2096,185,5350000,0.13,0.00566988,0.005405405,2.26298,27.79516,0.004996153,0.000409252,0.075711616,-0.144838703,0.150244108,27.79516
512,155,5350000,0.18,0.005864362,0.006451613,2.26301,23.45649,0.00595045,0.000501163,0.077680282,-0.144880581,0.151332194,23.45649
128,20,5350000,0.5,0.02684258,0.05,2.26301,20.6241,0.022034472,0.027965528,0.559310564,-0.981205,1.031205,20.6241
128,115,5350000,0.14,0.008162781,0.008695652,2.26294,19.40067,0.007899989,0.000795663,0.091501223,-0.160005826,0.168701478,19.40067
32,5,5350000,0.74,0.050821194,0.2,2.26301,28.78999,-0.520730236,0.720730236,3.603651181,-5.557998,5.757998,28.78999
128,75,5350000,0.19,0.010907946,0.013333333,2.26298,19.18122,0.011483802,0.001849531,0.138714856,-0.242416267,0.2557496,19.18122
1,140,5350000,0,0.007440804,0.007142857,NaN,0,0.007142857,0,0,0.007142857,0,0
