nodes,interval,blocksize,SBR,throughput
200,290000,5350000,0.07,0.0
200,265000,5350000,0.09,0.0
200,155000,5350000,0.12,0.0
200,120000,5350000,0.15,0.0
200,25000,5350000,0.44,0.0
200,170000,5350000,0.1,0.0
200,100000,5350000,0.17,0.0
200,130000,5350000,0.14,0.0
200,70000,5350000,0.21,0.0
200,135000,5350000,0.11,0.0
200,285000,5350000,0.06,0.0
200,10000,5350000,0.66,0.0
200,50000,5350000,0.27,0.0
200,60000,5350000,0.22,0.0
200,230000,5350000,0.08,0.0
200,190000,5350000,0.1,0.0
200,200000,5350000,0.11,0.0
200,85000,5350000,0.23,0.0
200,270000,5350000,0.05,0.0
200,140000,5350000,0.13,0.0
200,210000,5350000,0.1,0.0
200,90000,5350000,0.19,0.0
200,115000,5350000,0.12,0.0
200,20000,5350000,0.48,0.0
200,30000,5350000,0.39,0.0
200,160000,5350000,0.13,0.0
200,75000,5350000,0.2,0.0
200,280000,5350000,0.06,0.0
200,275000,5350000,0.06,0.0
200,145000,5350000,0.14,0.0
200,110000,5350000,0.13,0.0
200,245000,5350000,0.06,0.0
200,40000,5350000,0.31,0.0
200,205000,5350000,0.1,0.0
200,185000,5350000,0.09,0.0
200,195000,5350000,0.09,0.0
200,65000,5350000,0.23,0.0
200,95000,5350000,0.17,0.0
200,235000,5350000,0.07,0.0
200,45000,5350000,0.29,0.0
200,165000,5350000,0.11,0.0
200,105000,5350000,0.14,0.0
200,180000,5350000,0.1,0.0
200,175000,5350000,0.09,0.0
200,5000,5350000,0.81,0.0
200,240000,5350000,0.08,0.0
200,220000,5350000,0.09,0.0
200,150000,5350000,0.12,0.0
200,260000,5350000,0.06,0.0
200,295000,5350000,0.04,0.0
200,125000,5350000,0.15,0.0
200,250000,5350000,0.05,0.0
200,35000,5350000,0.32,0.0
200,15000,5350000,0.56,0.0
200,55000,5350000,0.26,0.0
200,215000,5350000,0.07,0.0
200,255000,5350000,0.09,0.0
200,225000,5350000,0.06,0.0
200,80000,5350000,0.22,0.0
