nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay
128,195.0,26750000,0.31,0.0037180484436925222,0.005128205128205128,11.17898
1,110.0,26750000,0.0,0.009470113080726275,0.00909090909090909,NaN
32,75.0,26750000,0.51,0.00655885716352748,0.013333333333333334,11.17903
2096,30.0,26750000,0.83,0.006269388649937568,0.03333333333333333,11.17899
8,195.0,26750000,0.15,0.004287899705682852,0.005128205128205128,11.17932
512,165.0,26750000,0.43,0.003870183368126927,0.006060606060606061,11.17903
512,80.0,26750000,0.56,0.005375671762133801,0.0125,11.17898
8,125.0,26750000,0.27,0.006058981430139944,0.008,11.17888
32,60.0,26750000,0.59,0.0077198330539783085,0.016666666666666666,11.17906
128,35.0,26750000,0.74,0.007757345790891879,0.02857142857142857,11.17902
2096,45.0,26750000,0.74,0.005747431890413894,0.022222222222222223,11.17898
32,105.0,26750000,0.38,0.00538180714343027,0.009523809523809525,11.1791
2096,10.0,26750000,0.94,0.0065339040880051545,0.1,11.17899
8,175.0,26750000,0.21,0.004870674579174934,0.005714285714285714,11.17877
128,95.0,26750000,0.46,0.005254384455429028,0.010526315789473684,11.179
32,30.0,26750000,0.71,0.01000356927351679,0.03333333333333333,11.179
128,155.0,26750000,0.33,0.004045759418875291,0.0064516129032258064,11.17899
128,185.0,26750000,0.33,0.003890819211198894,0.005405405405405406,11.17897
1,135.0,26750000,0.0,0.007716382806664485,0.007407407407407408,NaN
128,80.0,26750000,0.47,0.005920749865960802,0.0125,11.17901
512,185.0,26750000,0.43,0.0034228445605603715,0.005405405405405406,11.17904
128,165.0,26750000,0.39,0.003915714485438556,0.006060606060606061,11.17903
2096,65.0,26750000,0.66,0.005206560180822772,0.015384615384615385,11.17898
32,15.0,26750000,0.85,0.010535418665590388,0.06666666666666667,11.17898
128,5.0,26750000,0.96,0.008448729648111308,0.2,11.17901
2096,100.0,26750000,0.57,0.004513648913221669,0.01,11.17899
2096,150.0,26750000,0.48,0.00368975873885227,0.006666666666666667,11.179
1,40.0,26750000,0.0,0.02604302985651072,0.025,NaN
2096,50.0,26750000,0.74,0.005669254977434074,0.02,11.17897
1,120.0,26750000,0.0,0.008680936853649995,0.008333333333333333,NaN
2096,170.0,26750000,0.42,0.0036795059620261606,0.0058823529411764705,11.17898
512,95.0,26750000,0.49,0.005211250679633943,0.010526315789473684,11.17899
512,10.0,26750000,0.93,0.007723831459945882,0.1,11.17901
512,130.0,26750000,0.47,0.0042952601331951576,0.007692307692307693,11.17899
1,65.0,26750000,0.0,0.016026419231574867,0.015384615384615385,NaN
