nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov,throughput_simple,waste_rate_simple,SBR_simple
8,170.0,5350000,0.09,0.0061090060494432405,0.0058823529411764705,2.26286,9.40953,-135967.70272317287,135967.7086055258,23114510.46293939,-0.049467823529411765,0.055350176470588236,9.40953
32,100.0,5350000,0.14,0.008420299590891325,0.01,2.26293,17.49563,-87478.14022018497,87478.15022018497,8747815.022018496,-0.16495629999999997,0.17495629999999998,17.49563
2096,35.0,5350000,0.42,0.01809332537227017,0.02857142857142857,2.26299,28.63606,-17539.558270300986,17539.586841729557,613885.5394605345,-0.7896017142857142,0.8181731428571428,28.63606
32,55.0,5350000,0.18,0.012887825925306849,0.01818181818181818,2.26298,18.15131,-27453.838948344794,27453.857130162974,1509962.1421589637,-0.31184199999999995,0.33002381818181814,18.15131
1,50.0,5350000,0.0,0.020834401096389524,0.02,NaN,0,0.02,0.0,0.0,0.02,0.0,0.0
128,45.0,5350000,0.24,0.01639558748833044,0.022222222222222223,2.26305,19.75415,-20001.055066253368,20001.07728847559,900048.4779814015,-0.4167588888888889,0.4389811111111111,19.75415
1,135.0,5350000,0.0,0.007716382806664485,0.007407407407407408,NaN,0,0.007407407407407408,0.0,0.0,0.007407407407407408,0.0,0.0
2096,100.0,5350000,0.23,0.009188194265527305,0.01,2.263,27.98541,-139927.04001098155,139927.05001098156,13992705.001098156,-0.2698541,0.2798541,27.985409999999998
8,25.0,5350000,0.24,0.027468980653596927,0.04,2.26285,9.43288,-2947.7398916220573,2947.779891622057,73694.49729055143,-0.33731520000000004,0.3773152,9.43288
8,15.0,5350000,0.34,0.04277858242254239,0.06666666666666667,2.26306,10.2457,-1152.589342020238,1152.6560086869047,17289.84013030357,-0.6163799999999999,0.6830466666666666,10.2457
2096,5.0,5350000,0.85,0.03131360576170346,0.2,2.263,32.93201,-411.45529404545863,411.6552940454586,2058.276470227293,-6.3864019999999995,6.586402,32.93201
32,65.0,5350000,0.17,0.011647950933239655,0.015384615384615385,2.26285,18.20729,-38462.885282730924,38462.90066734631,2500088.54337751,-0.26472753846153846,0.28011215384615384,18.20729
128,10.0,5350000,0.62,0.034681675971182296,0.1,2.263,21.66346,-1083.0821821499167,1083.1821821499166,10831.821821499165,-2.0663460000000002,2.1663460000000003,21.66346
8,105.0,5350000,0.1,0.009577406514935008,0.009523809523809525,2.26269,9.31183,-51331.45362493475,51331.463148744275,5389803.6306181485,-0.07916028571428574,0.08868409523809526,9.31183
2096,130.0,5350000,0.18,0.005474727889599703,0.007692307692307693,2.26297,27.90567,-235802.90381417176,235802.91150647946,30654378.495842326,-0.2069666923076923,0.214659,27.905669999999997
1,70.0,5350000,0.0,0.01488165881683967,0.014285714285714285,NaN,0,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0,0.0
8,150.0,5350000,0.08,0.006419386341330455,0.006666666666666667,2.26298,9.15379,-102980.1309651915,102980.13763185818,15447020.644778725,-0.05435860000000001,0.061025266666666675,9.15379
1,40.0,5350000,0.0,0.02604302985651072,0.025,NaN,0,0.025,0.0,0.0,0.025,0.0,0.0
32,185.0,5350000,0.07,0.004368435033922864,0.005405405405405406,2.26314,16.95318,-290111.2874069345,290111.2928123399,53670589.17028288,-0.0862334054054054,0.09163881081081081,16.95318
8,85.0,5350000,0.14,0.010420287716648201,0.011764705882352941,2.26327,9.34056,-33742.761654303424,33742.7734190093,2868135.7406157907,-0.09812423529411765,0.10988894117647059,9.34056
32,30.0,5350000,0.36,0.023274411832338582,0.03333333333333333,2.26303,18.69179,-8411.274780431302,8411.308113764635,252339.24341293905,-0.5897263333333334,0.6230596666666667,18.69179
512,60.0,5350000,0.3,0.012136133584751525,0.016666666666666666,2.263,23.69659,-42653.845420942875,42653.862087609545,2559231.725256573,-0.3782765,0.3949431666666667,23.69659
32,120.0,5350000,0.17,0.007249099951749991,0.008333333333333333,2.2629,17.88418,-128766.08782296871,128766.09615630204,15451931.538756246,-0.1407015,0.14903483333333334,17.88418
512,165.0,5350000,0.15,0.005103209578610974,0.006060606060606061,2.26303,23.22849,-316197.8140757499,316197.82013635593,52172640.32249873,-0.1347181212121212,0.14077872727272728,23.22849
512,190.0,5350000,0.11,0.004568800701694687,0.005263157894736842,2.26299,23.34261,-421334.1052454483,421334.1105086062,80053480.99663518,-0.11759268421052631,0.12285584210526315,23.34261
512,85.0,5350000,0.17,0.0081778245040497,0.011764705882352941,2.26301,23.56469,-85127.43090370433,85127.4426684102,7235832.626814867,-0.26546694117647057,0.2772316470588235,23.56469
512,40.0,5350000,0.34,0.017216436166410942,0.025,2.26299,23.97968,-19183.719199476378,19183.74419947638,767349.7679790552,-0.574492,0.599492,23.97968
32,85.0,5350000,0.15,0.010739704677452838,0.011764705882352941,2.2629,17.23417,-62258.42766049407,62258.43942519995,5291967.351141996,-0.19099023529411763,0.20275494117647058,17.23417
2096,65.0,5350000,0.27,0.009869831724304017,0.015384615384615385,2.26298,28.32007,-59826.132516687285,59826.14790130267,3888699.6135846735,-0.4203087692307692,0.4356933846153846,28.320069999999998
32,130.0,5350000,0.17,0.005601917236369389,0.007692307692307693,2.26284,17.51409,-147994.0529381167,147994.0606304244,19239227.881955173,-0.12703146153846154,0.13472376923076923,17.51409
512,35.0,5350000,0.38,0.017378885245309048,0.02857142857142857,2.26298,24.53277,-15026.293320121358,15026.32189154993,525921.2662042475,-0.6723648571428571,0.7009362857142857,24.53277
128,145.0,5350000,0.1,0.006428785736735952,0.006896551724137931,2.26303,19.03611,-200117.09951682418,200117.1064133759,29016980.42993951,-0.12438696551724139,0.13128351724137932,19.03611
32,170.0,5350000,0.11,0.005109514442326433,0.0058823529411764705,2.26286,17.89483,-258580.28769557402,258580.29357792696,43958649.90824758,-0.09938135294117648,0.10526370588235294,17.89483
2096,40.0,5350000,0.4,0.013857351865601424,0.025,2.26299,28.37168,-22697.319069582045,22697.344069582046,907893.7627832819,-0.684292,0.709292,28.37168
8,180.0,5350000,0.04,0.005603448855529192,0.005555555555555556,2.26287,9.26488,-150091.05053712387,150091.0560926794,27016390.096682295,-0.045916,0.051471555555555555,9.26488
2096,20.0,5350000,0.58,0.020127055116092033,0.05,2.26299,29.83679,-5967.308292701015,5967.358292701015,119347.16585402029,-1.4418395,1.4918395,29.836789999999997
512,115.0,5350000,0.15,0.007495772009797874,0.008695652173913044,2.26301,23.28294,-153958.43207777987,153958.44077343206,17705220.688944686,-0.1937646956521739,0.20246034782608696,23.28294
8,100.0,5350000,0.07,0.009749791110725454,0.01,2.26292,9.36411,-46820.540303497495,46820.5503034975,4682055.03034975,-0.08364110000000001,0.0936411,9.36411
2096,175.0,5350000,0.15,0.004410427697697642,0.005714285714285714,2.26299,27.75791,-425042.99116427096,425042.9968785567,74382524.45374742,-0.15290234285714283,0.15861662857142855,27.757909999999995
32,5.0,5350000,0.75,0.05557802868743031,0.2,2.26305,29.75291,-371.8611528298097,372.0611528298097,1860.3057641490484,-5.7505820000000005,5.950582000000001,29.752910000000004
8,145.0,5350000,0.05,0.007299748552861348,0.006896551724137931,2.26271,9.40867,-98908.63662348596,98908.64352003769,14341753.310405465,-0.0579908275862069,0.06488737931034483,9.40867
2096,105.0,5350000,0.17,0.006810480403115059,0.009523809523809525,2.26302,27.751,-152977.37798606764,152977.38750987718,16062625.688537102,-0.25477142857142854,0.2642952380952381,27.750999999999998
512,15.0,5350000,0.62,0.027332361516034985,0.06666666666666667,2.263,26.5621,-2988.1711545930098,2988.2378212596764,44823.56731889515,-1.70414,1.7708066666666666,26.5621
128,50.0,5350000,0.23,0.01522269417699657,0.02,2.26298,19.39808,-24247.580328878357,24247.600328878358,1212380.0164439178,-0.3679616,0.3879616,19.39808
512,100.0,5350000,0.21,0.007578064866871209,0.01,2.26301,23.55313,-117765.64003134849,117765.65003134849,11776565.003134849,-0.2255313,0.2355313,23.55313
32,125.0,5350000,0.1,0.006193683928876689,0.008,2.26286,17.9637,-140341.39839468844,140341.40639468844,17542675.799336053,-0.13570959999999999,0.1437096,17.9637
512,75.0,5350000,0.28,0.009454924545447411,0.013333333333333334,2.26299,24.31741,-68392.70234920573,68392.71568253907,5129453.67619043,-0.31089880000000003,0.32423213333333334,24.31741
8,185.0,5350000,0.1,0.004825335056156664,0.005405405405405406,2.26293,9.28341,-158862.3483075075,158862.3537129129,29389535.43688889,-0.04477518918918919,0.0501805945945946,9.28341
1,45.0,5350000,0.0,0.023149327049062685,0.022222222222222223,NaN,0,0.022222222222222223,0.0,0.0,0.022222222222222223,0.0,0.0
128,95.0,5350000,0.17,0.0077097257419261826,0.010526315789473684,2.26293,19.30764,-87125.7150643615,87125.72559067729,8276943.931114343,-0.192712,0.20323831578947368,19.30764
512,195.0,5350000,0.09,0.005902379296790531,0.005128205128205128,2.26298,23.2676,-442375.2398799392,442375.2450081443,86263172.77658814,-0.11419282051282052,0.11932102564102565,23.2676
1,130.0,5350000,0.0,0.008013151183722726,0.007692307692307693,NaN,0,0.007692307692307693,0.0,0.0,0.007692307692307693,0.0,0.0
32,80.0,5350000,0.17,0.01172147570097062,0.0125,2.26299,17.76414,-56845.23584931909,56845.24834931909,4547619.867945527,-0.20955175,0.22205175000000002,17.76414
32,60.0,5350000,0.23,0.014699075384061115,0.016666666666666666,2.26291,17.57094,-31627.675947591004,31627.69261425767,1897661.5568554602,-0.27618233333333336,0.292849,17.57094
1,75.0,5350000,0.0,0.013889527421330063,0.013333333333333334,NaN,0,0.013333333333333334,0.0,0.0,0.013333333333333334,0.0,0.0
32,25.0,5350000,0.38,0.024864319926944108,0.04,2.26294,18.36359,-5738.5855727339795,5738.625572733979,143465.63931834948,-0.6945435999999999,0.7345436,18.36359
128,150.0,5350000,0.14,0.0050432600762823345,0.006666666666666667,2.26292,19.46896,-219025.7933700089,219025.80003667556,32853870.00550133,-0.12312640000000001,0.12979306666666668,19.46896
128,100.0,5350000,0.15,0.008190010873058436,0.01,2.26298,19.69218,-98460.89008346616,98460.90008346616,9846090.008346615,-0.1869218,0.1969218,19.69218
2096,85.0,5350000,0.26,0.010032802196109462,0.011764705882352941,2.26298,28.4764,-102870.98325076018,102870.99501546606,8744034.576314615,-0.32325176470588235,0.3350164705882353,28.4764
2096,135.0,5350000,0.15,0.0063226881617627195,0.007407407407407408,2.26298,28.00731,-255216.60497362283,255216.61238103025,34454242.67143908,-0.20005414814814815,0.20746155555555557,28.00731
32,35.0,5350000,0.31,0.024349562316617356,0.02857142857142857,2.26314,18.20147,-11148.373673514863,11148.402244943434,390194.07857302023,-0.4914705714285714,0.520042,18.20147
8,30.0,5350000,0.22,0.02634656642325074,0.03333333333333333,2.26261,10.03052,-4513.704278847975,4513.737612181309,135412.12836543925,-0.3010173333333333,0.33435066666666663,10.03052
32,160.0,5350000,0.05,0.005711422822799908,0.00625,2.2629,17.1957,-220104.95383453526,220104.96008453527,35216793.613525644,-0.101223125,0.107473125,17.1957
512,25.0,5350000,0.46,0.018959495313402353,0.04,2.26298,25.35661,-7923.901164981959,7923.9411649819585,198098.52912454895,-0.9742644,1.0142644,25.35661
128,140.0,5350000,0.12,0.005691135799890559,0.007142857142857143,2.26293,19.29334,-189074.72489886513,189074.73204172228,26470462.48584112,-0.13066671428571427,0.13780957142857142,19.29334
8,90.0,5350000,0.08,0.010732634302551029,0.011111111111111112,2.26294,9.32803,-37778.510762133476,37778.52187324459,3400066.9685920128,-0.09253366666666667,0.10364477777777778,9.32803
512,5.0,5350000,0.82,0.03611436017514728,0.2,2.26297,28.59962,-357.31047608781086,357.51047608781084,1787.552380439054,-5.5199240000000005,5.719924000000001,28.59962
