nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay
8,35.0,5350000,0.19,0.022995009386144738,0.02857142857142857,2.26303
512,145.0,5350000,0.16,0.007446043548483536,0.006896551724137931,2.26298
2096,85.0,5350000,0.29,0.009461059806894991,0.011764705882352941,2.26299
1,155.0,5350000,0.0,0.006720697941792976,0.0064516129032258064,NaN
128,80.0,5350000,0.19,0.009028048431146369,0.0125,2.26301
128,180.0,5350000,0.05,0.004808113942299555,0.005555555555555556,2.26301
1,65.0,5350000,0.0,0.016026419231574867,0.015384615384615385,NaN
32,70.0,5350000,0.23,0.010892438381256028,0.014285714285714285,2.26314
2096,195.0,5350000,0.12,0.0045801047030255525,0.005128205128205128,2.26301
128,145.0,5350000,0.13,0.006361387092821925,0.006896551724137931,2.26296
512,50.0,5350000,0.35,0.012219593070094204,0.02,2.26302
32,65.0,5350000,0.16,0.014526182790802195,0.015384615384615385,2.26304
128,5.0,5350000,0.79,0.04143451359686248,0.2,2.26301
512,110.0,5350000,0.2,0.008033112818921752,0.00909090909090909,2.26298
1,125.0,5350000,0.0,0.008333697932617885,0.008,NaN
8,160.0,5350000,0.09,0.00583074943672045,0.00625,2.2631
128,35.0,5350000,0.4,0.020388203630038106,0.02857142857142857,2.26304
512,55.0,5350000,0.25,0.014222768376527882,0.01818181818181818,2.263
128,50.0,5350000,0.36,0.012743379235242781,0.02,2.26303
128,40.0,5350000,0.33,0.019214643710547534,0.025,2.26291
128,160.0,5350000,0.15,0.0051259560164268435,0.00625,2.26311
512,15.0,5350000,0.6,0.028939355096702753,0.06666666666666667,2.26302
2096,75.0,5350000,0.31,0.010381040234212878,0.013333333333333334,2.26298
512,185.0,5350000,0.1,0.005250455109448887,0.005405405405405406,2.263
8,135.0,5350000,0.08,0.007977516168430895,0.007407407407407408,2.26267
1,185.0,5350000,0.0,0.0056308725425534886,0.005405405405405406,NaN
32,160.0,5350000,0.07,0.006059092022035948,0.00625,2.26292
512,75.0,5350000,0.25,0.010686606939688243,0.013333333333333334,2.26299
1,60.0,5350000,0.0,0.017361943037548327,0.016666666666666666,NaN
32,75.0,5350000,0.18,0.011699468270866556,0.013333333333333334,2.2628
128,95.0,5350000,0.22,0.007487784787006523,0.010526315789473684,2.26301
1,95.0,5350000,0.0,0.010965425683856032,0.010526315789473684,NaN
128,85.0,5350000,0.18,0.009017589529785009,0.011764705882352941,2.26298
8,195.0,5350000,0.05,0.005335064455047707,0.005128205128205128,2.26255
128,10.0,5350000,0.64,0.036748396851187366,0.1,2.26296
512,120.0,5350000,0.17,0.006986139080895158,0.008333333333333333,2.26296
1,20.0,5350000,0.0,0.05208672439611954,0.05,NaN
32,55.0,5350000,0.26,0.014658580407370744,0.01818181818181818,2.263
32,40.0,5350000,0.27,0.01930349514874212,0.025,2.26301
128,195.0,5350000,0.1,0.004687713657199032,0.005128205128205128,2.26295
2096,45.0,5350000,0.42,0.014244661172215959,0.022222222222222223,2.26299
2096,65.0,5350000,0.31,0.011668114485205706,0.015384615384615385,2.26299
32,80.0,5350000,0.17,0.009656720019722885,0.0125,2.26281
2096,80.0,5350000,0.28,0.008161437810292764,0.0125,2.26299
512,170.0,5350000,0.17,0.006157976735163894,0.0058823529411764705,2.26304
8,95.0,5350000,0.08,0.010898820257201259,0.010526315789473684,2.26299
2096,25.0,5350000,0.48,0.01827136113966519,0.04,2.263
128,170.0,5350000,0.08,0.005243981757446022,0.0058823529411764705,2.26294
2096,120.0,5350000,0.2,0.00803978600662382,0.008333333333333333,2.26297
32,140.0,5350000,0.13,0.006925151645239439,0.007142857142857143,2.2631
32,15.0,5350000,0.53,0.033859789057004874,0.06666666666666667,2.26298
32,35.0,5350000,0.36,0.021195022466723813,0.02857142857142857,2.26281
2096,130.0,5350000,0.15,0.006797932014697673,0.007692307692307693,2.26297
1,170.0,5350000,0.0,0.006127721696528382,0.0058823529411764705,NaN
8,10.0,5350000,0.38,0.05959475566150179,0.1,2.26284
32,90.0,5350000,0.18,0.010263348279847434,0.011111111111111112,2.26291
8,115.0,5350000,0.06,0.008503639983094764,0.008695652173913044,2.26273
32,150.0,5350000,0.07,0.006928289021613352,0.006666666666666667,2.26286
128,25.0,5350000,0.43,0.024228422631794054,0.04,2.26289
512,25.0,5350000,0.51,0.02083335990649648,0.04,2.26298
512,90.0,5350000,0.19,0.008354801234215121,0.011111111111111112,2.26307
8,60.0,5350000,0.15,0.01559608388572063,0.016666666666666666,2.26267
8,105.0,5350000,0.08,0.009625470071862798,0.009523809523809525,2.26299
1,50.0,5350000,0.0,0.020834401096389524,0.02,NaN
2096,170.0,5350000,0.18,0.004965033256785761,0.0058823529411764705,2.26299
8,140.0,5350000,0.05,0.00724031645685557,0.007142857142857143,2.26289
128,185.0,5350000,0.09,0.00423166557891703,0.005405405405405406,2.26304
128,130.0,5350000,0.15,0.005649382700426399,0.007692307692307693,2.26301
1,175.0,5350000,0.0,0.005952621891838479,0.005714285714285714,NaN
512,20.0,5350000,0.56,0.024271065139371075,0.05,2.26304
8,80.0,5350000,0.1,0.012522034084225456,0.0125,2.26292
32,50.0,5350000,0.2,0.014924811783198601,0.02,2.26298
512,70.0,5350000,0.21,0.011510547575165028,0.014285714285714285,2.263
128,190.0,5350000,0.1,0.004542693620163854,0.005263157894736842,2.26302
2096,180.0,5350000,0.18,0.0053972459365214795,0.005555555555555556,2.26297
8,5.0,5350000,0.64,0.07559784667093543,0.2,2.26288
512,115.0,5350000,0.18,0.0077332223873694825,0.008695652173913044,2.26299
32,10.0,5350000,0.62,0.041490596241036654,0.1,2.26293
32,20.0,5350000,0.46,0.031213690197117637,0.05,2.26295
128,30.0,5350000,0.35,0.022232986880516562,0.03333333333333333,2.26302
32,145.0,5350000,0.13,0.005831446811694361,0.006896551724137931,2.2631
1,165.0,5350000,0.0,0.006313413902175293,0.006060606060606061,NaN
32,85.0,5350000,0.15,0.011337438707687735,0.011764705882352941,2.26295
32,120.0,5350000,0.17,0.007837285415125333,0.008333333333333333,2.26295
1,145.0,5350000,0.0,0.007184240936451438,0.006896551724137931,NaN
32,45.0,5350000,0.33,0.01643004361263799,0.022222222222222223,2.26297
128,140.0,5350000,0.15,0.0055974305554778135,0.007142857142857143,2.26299
1,45.0,5350000,0.0,0.023149327049062685,0.022222222222222223,NaN
8,110.0,5350000,0.07,0.007935777970899343,0.00909090909090909,2.26315
128,165.0,5350000,0.12,0.0055791363954349055,0.006060606060606061,2.26289
8,15.0,5350000,0.32,0.0473047520251451,0.06666666666666667,2.26262
32,180.0,5350000,0.07,0.005875625695380301,0.005555555555555556,2.26291
