nodes,interval,blocksize,SBR,throughput
16,445000,535000,0.0,1.2
16,245000,535000,0.01,2.14
4,595000,535000,0.0,0.91
32,565000,535000,0.0,0.93
32,405000,535000,0.01,1.31
32,95000,535000,0.01,5.58
32,355000,535000,0.0,1.54
32,45000,535000,0.05,10.98
128,445000,535000,0.0,1.21
128,355000,535000,0.0,1.54
32,365000,535000,0.01,1.55
128,125000,535000,0.02,4.25
128,405000,535000,0.01,1.35
1,555000,535000,0.0,1.06
4,75000,535000,0.0,7.17
128,195000,535000,0.01,2.77
1,225000,535000,0.0,2.6
16,535000,535000,0.0,1.03
16,65000,535000,0.02,8.89
16,195000,535000,0.0,2.91
4,105000,535000,0.0,5.19
16,525000,535000,0.0,1.04
4,375000,535000,0.0,1.44
128,225000,535000,0.01,2.65
4,465000,535000,0.0,1.16
128,185000,535000,0.01,3.04
16,365000,535000,0.0,1.45
32,575000,535000,0.0,0.93
4,275000,535000,0.0,2.0
32,85000,535000,0.03,5.81
4,395000,535000,0.0,1.41
4,185000,535000,0.0,2.98
1,235000,535000,0.0,2.49
128,395000,535000,0.01,1.38
32,375000,535000,0.0,1.25
16,375000,535000,0.0,1.33
1,445000,535000,0.0,1.32
16,255000,535000,0.01,1.99
16,185000,535000,0.01,2.72
4,165000,535000,0.0,3.3
16,455000,535000,0.01,1.07
1,245000,535000,0.0,2.39
1,195000,535000,0.0,3.0
128,475000,535000,0.0,1.18
16,5000,535000,0.25,80.69
16,75000,535000,0.03,6.75
32,55000,535000,0.04,9.2
32,395000,535000,0.0,1.44
128,375000,535000,0.01,1.32
32,345000,535000,0.01,1.53
1,345000,535000,0.0,1.7
1,75000,535000,0.0,7.81
4,15000,535000,0.03,33.14
4,515000,535000,0.0,1.08
1,175000,535000,0.0,3.35
4,65000,535000,0.0,8.28
4,85000,535000,0.01,6.2
1,415000,535000,0.0,1.41
16,315000,535000,0.01,1.72
16,565000,535000,0.0,0.97
32,445000,535000,0.0,1.12
128,275000,535000,0.0,2.0
16,585000,535000,0.0,0.89
16,355000,535000,0.01,1.5
1,425000,535000,0.0,1.38
1,135000,535000,0.0,4.34
1,25000,535000,0.0,23.42
128,35000,535000,0.06,16.08
32,435000,535000,0.0,1.14
1,505000,535000,0.0,1.16
128,455000,535000,0.01,1.17
4,455000,535000,0.0,1.23
32,335000,535000,0.0,1.7
4,155000,535000,0.0,3.57
1,295000,535000,0.0,1.99
1,545000,535000,0.0,1.07
128,175000,535000,0.01,3.17
4,415000,535000,0.0,1.34
16,25000,535000,0.06,21.04
128,535000,535000,0.0,1.05
128,135000,535000,0.03,3.79
4,25000,535000,0.02,21.49
128,105000,535000,0.01,5.09
128,75000,535000,0.02,7.19
1,305000,535000,0.0,1.92
4,335000,535000,0.0,1.66
32,195000,535000,0.0,2.64
128,255000,535000,0.0,2.07
128,575000,535000,0.0,0.9
32,275000,535000,0.0,1.74
1,495000,535000,0.0,1.18
1,5000,535000,0.0,117.13
128,345000,535000,0.0,1.49
16,395000,535000,0.01,1.3
32,585000,535000,0.0,0.87
32,185000,535000,0.0,2.8
32,35000,535000,0.04,13.23
128,585000,535000,0.01,0.85
16,385000,535000,0.0,1.38
1,385000,535000,0.0,1.52
32,225000,535000,0.01,2.5
4,445000,535000,0.0,1.25
32,265000,535000,0.01,1.98
32,115000,535000,0.01,4.41
16,105000,535000,0.01,5.42
1,125000,535000,0.0,4.68
16,575000,535000,0.0,0.96
128,65000,535000,0.04,7.39
128,235000,535000,0.0,2.29
16,305000,535000,0.01,1.73
128,25000,535000,0.08,20.35
1,215000,535000,0.0,2.72
32,425000,535000,0.0,1.15
16,435000,535000,0.0,1.16
16,175000,535000,0.01,2.88
1,55000,535000,0.0,10.65
128,485000,535000,0.0,1.11
16,545000,535000,0.0,0.99
4,145000,535000,0.0,3.75
1,265000,535000,0.0,2.21
4,325000,535000,0.0,1.72
1,465000,535000,0.0,1.26
1,485000,535000,0.0,1.21
128,385000,535000,0.0,1.34
128,245000,535000,0.01,2.34
128,55000,535000,0.04,9.45
16,55000,535000,0.04,10.0
32,385000,535000,0.01,1.38
128,15000,535000,0.13,31.61
4,35000,535000,0.02,15.6
32,455000,535000,0.0,1.11
1,365000,535000,0.0,1.6
128,285000,535000,0.01,1.93
16,235000,535000,0.0,2.23
128,115000,535000,0.01,4.62
1,435000,535000,0.0,1.35
16,345000,535000,0.0,1.47
128,155000,535000,0.02,3.68
1,45000,535000,0.0,13.01
4,495000,535000,0.0,1.09
32,555000,535000,0.0,0.87
128,565000,535000,0.0,0.87
4,365000,535000,0.0,1.53
1,185000,535000,0.0,3.17
32,155000,535000,0.02,3.46
4,235000,535000,0.0,2.38
4,265000,535000,0.0,2.08
1,325000,535000,0.0,1.8
1,525000,535000,0.0,1.12
16,405000,535000,0.0,1.25
4,95000,535000,0.0,5.71
16,505000,535000,0.01,1.1
32,75000,535000,0.03,6.58
128,435000,535000,0.0,1.2
4,175000,535000,0.0,3.11
128,525000,535000,0.0,1.0
4,45000,535000,0.02,12.08
32,525000,535000,0.0,1.0
16,495000,535000,0.01,1.01
4,535000,535000,0.0,1.01
4,435000,535000,0.0,1.29
32,465000,535000,0.0,1.11
1,165000,535000,0.0,3.55
4,385000,535000,0.0,1.45
4,195000,535000,0.0,2.86
16,475000,535000,0.0,1.02
128,515000,535000,0.01,1.09
32,325000,535000,0.0,1.63
1,85000,535000,0.0,6.89
128,545000,535000,0.0,0.98
128,505000,535000,0.0,0.95
32,475000,535000,0.0,1.19
16,285000,535000,0.0,1.77
16,45000,535000,0.03,11.06
128,415000,535000,0.02,1.17
1,105000,535000,0.0,5.58
16,555000,535000,0.0,0.98
1,535000,535000,0.0,1.09
1,205000,535000,0.0,2.86
16,165000,535000,0.01,3.44
4,425000,535000,0.0,1.31
4,485000,535000,0.0,1.12
4,585000,535000,0.0,0.93
32,505000,535000,0.01,1.11
32,145000,535000,0.0,3.5
4,305000,535000,0.0,1.83
16,115000,535000,0.01,4.61
16,515000,535000,0.01,1.09
1,95000,535000,0.0,6.16
16,465000,535000,0.01,1.12
32,235000,535000,0.01,2.21
4,295000,535000,0.0,1.89
1,335000,535000,0.0,1.75
32,65000,535000,0.02,7.5
32,25000,535000,0.08,20.65
32,595000,535000,0.01,0.93
32,495000,535000,0.01,1.04
16,415000,535000,0.0,1.34
128,425000,535000,0.01,1.29
4,115000,535000,0.0,4.76
128,465000,535000,0.0,1.22
128,85000,535000,0.03,5.94
16,225000,535000,0.01,2.33
32,545000,535000,0.01,1.08
16,15000,535000,0.08,33.57
4,225000,535000,0.0,2.45
128,495000,535000,0.01,1.03
32,535000,535000,0.0,0.97
