nodes,interval,blocksize,SBR,throughput
16,265000,535000,0.0,2.1
1,595000,535000,0.0,0.98
32,245000,535000,0.0,2.18
4,125000,535000,0.0,4.34
128,595000,535000,0.01,0.89
1,475000,535000,0.0,1.23
16,35000,535000,0.04,14.09
4,215000,535000,0.0,2.56
16,485000,535000,0.01,1.05
4,555000,535000,0.0,0.97
16,95000,535000,0.03,5.44
16,125000,535000,0.01,4.23
4,565000,535000,0.0,0.96
4,245000,535000,0.0,2.28
16,325000,535000,0.0,1.62
32,5000,535000,0.27,69.94
1,575000,535000,0.0,1.02
1,15000,535000,0.0,39.04
32,175000,535000,0.01,2.89
1,275000,535000,0.0,2.13
32,205000,535000,0.0,2.65
128,215000,535000,0.01,2.58
128,45000,535000,0.05,11.29
16,215000,535000,0.01,2.49
1,395000,535000,0.0,1.48
32,295000,535000,0.01,1.77
128,305000,535000,0.0,1.76
4,345000,535000,0.0,1.61
16,155000,535000,0.0,3.31
16,425000,535000,0.0,1.31
32,15000,535000,0.12,32.41
1,145000,535000,0.0,4.04
128,145000,535000,0.02,3.64
128,335000,535000,0.01,1.59
4,55000,535000,0.01,9.43
1,375000,535000,0.0,1.56
128,265000,535000,0.01,1.99
32,135000,535000,0.01,3.64
4,525000,535000,0.0,1.06
128,295000,535000,0.0,1.89
32,305000,535000,0.01,1.75
1,155000,535000,0.0,3.78
16,335000,535000,0.01,1.69
128,325000,535000,0.01,1.68
1,515000,535000,0.0,1.14
1,35000,535000,0.0,16.73
128,365000,535000,0.01,1.43
128,95000,535000,0.03,6.15
4,475000,535000,0.0,1.17
16,205000,535000,0.01,2.61
128,555000,535000,0.01,0.87
32,165000,535000,0.02,3.32
128,165000,535000,0.0,3.21
1,585000,535000,0.0,1.0
128,205000,535000,0.01,2.44
32,105000,535000,0.01,5.28
4,5000,535000,0.08,97.98
32,285000,535000,0.01,1.75
16,85000,535000,0.02,5.83
1,315000,535000,0.0,1.86
4,545000,535000,0.0,0.99
1,565000,535000,0.0,1.04
4,255000,535000,0.0,2.19
4,575000,535000,0.0,0.94
16,595000,535000,0.01,0.92
32,315000,535000,0.01,1.62
16,135000,535000,0.02,4.01
128,315000,535000,0.01,1.91
32,515000,535000,0.0,1.03
32,485000,535000,0.01,1.1
4,135000,535000,0.0,4.06
16,145000,535000,0.01,3.7
16,275000,535000,0.0,1.91
4,355000,535000,0.0,1.57
1,285000,535000,0.0,2.05
1,405000,535000,0.0,1.45
16,295000,535000,0.0,2.11
32,255000,535000,0.0,1.91
1,355000,535000,0.0,1.65
4,205000,535000,0.0,2.69
32,415000,535000,0.0,1.34
4,505000,535000,0.0,1.07
1,65000,535000,0.0,9.01
4,285000,535000,0.0,1.96
4,405000,535000,0.0,1.34
128,5000,535000,0.3,76.78
1,115000,535000,0.0,5.09
32,215000,535000,0.01,2.26
4,315000,535000,0.0,1.78
1,455000,535000,0.0,1.29
1,255000,535000,0.0,2.3
32,125000,535000,0.02,4.17
