nodes,interval,blocksize,SBR,throughput
5000,210000,535000,0.03,2.54
5000,180000,535000,0.01,3.11
5000,115000,535000,0.05,4.79
5000,185000,535000,0.01,2.71
5000,10000,535000,0.27,37.57
5000,220000,535000,0.03,2.47
5000,165000,535000,0.02,3.09
5000,30000,535000,0.1,15.91
5000,225000,535000,0.01,2.35
5000,200000,535000,0.03,2.67
5000,175000,535000,0.03,3.16
5000,80000,535000,0.04,6.91
5000,5000,535000,0.42,59.14
5000,170000,535000,0.03,3.23
5000,260000,535000,0.03,1.78
5000,120000,535000,0.04,4.49
5000,145000,535000,0.02,3.44
5000,280000,535000,0.01,1.75
5000,155000,535000,0.02,3.39
5000,245000,535000,0.01,2.21
5000,250000,535000,0.01,2.11
5000,215000,535000,0.02,2.33
5000,135000,535000,0.04,3.59
5000,25000,535000,0.14,20.06
5000,110000,535000,0.03,4.34
5000,230000,535000,0.02,2.22
5000,85000,535000,0.03,5.9
5000,105000,535000,0.04,4.56
5000,140000,535000,0.03,3.55
5000,240000,535000,0.01,2.23
5000,50000,535000,0.08,10.99
5000,20000,535000,0.14,21.31
5000,130000,535000,0.02,4.02
5000,160000,535000,0.03,3.03
5000,65000,535000,0.08,7.41
5000,295000,535000,0.02,1.92
5000,265000,535000,0.01,2.0
5000,55000,535000,0.09,8.45
5000,195000,535000,0.01,2.79
5000,60000,535000,0.06,9.06
5000,70000,535000,0.06,7.16
5000,205000,535000,0.03,2.42
5000,15000,535000,0.21,29.62
5000,255000,535000,0.01,2.04
5000,235000,535000,0.01,2.3
5000,90000,535000,0.04,5.81
5000,100000,535000,0.04,5.6
5000,35000,535000,0.09,13.81
5000,150000,535000,0.03,3.54
5000,270000,535000,0.01,2.02
5000,95000,535000,0.02,4.88
5000,40000,535000,0.09,12.37
5000,45000,535000,0.1,11.2
5000,125000,535000,0.04,3.98
5000,290000,535000,0.02,1.85
5000,285000,535000,0.01,1.73
5000,75000,535000,0.04,7.07
5000,190000,535000,0.02,2.9
5000,275000,535000,0.02,1.87
