nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay
1,175.0,535000,0.0,0.005952621891838479,0.005714285714285714,NaN
32,165.0,535000,0.0,0.005134950609991053,0.006060606060606061,0.25619
1,150.0,535000,0.0,0.006944742971937474,0.006666666666666667,NaN
1,110.0,535000,0.0,0.009470113080726275,0.00909090909090909,NaN
2096,135.0,535000,0.01,0.007306353502717014,0.007407407407407408,0.25598
2096,120.0,535000,0.04,0.008126455448170767,0.008333333333333333,0.256
2096,75.0,535000,0.05,0.0144039273172066,0.013333333333333334,0.256
2096,195.0,535000,0.01,0.005360245769412625,0.005128205128205128,0.25599
512,105.0,535000,0.04,0.01021416447215343,0.009523809523809525,0.25595
32,40.0,535000,0.03,0.02671465330791523,0.025,0.25612
32,100.0,535000,0.02,0.009194270241116978,0.01,0.25588
8,120.0,535000,0.03,0.009388514767007106,0.008333333333333333,0.25595
2096,20.0,535000,0.13,0.04766669161223528,0.05,0.256
8,125.0,535000,0.01,0.008113279556352894,0.008,0.25611
512,160.0,535000,0.02,0.0055654001300077475,0.00625,0.25598
8,15.0,535000,0.09,0.0664620079900626,0.06666666666666667,0.25595
8,175.0,535000,0.02,0.006013780216539388,0.005714285714285714,0.25563
2096,90.0,535000,0.04,0.010257486503455695,0.011111111111111112,0.25599
8,50.0,535000,0.04,0.022999936980172674,0.02,0.25616
128,175.0,535000,0.01,0.00577726016094407,0.005714285714285714,0.25595
8,25.0,535000,0.04,0.04197606524759582,0.04,0.25581
128,35.0,535000,0.03,0.030135095633725996,0.02857142857142857,0.25606
1,125.0,535000,0.0,0.008333697932617885,0.008,NaN
32,180.0,535000,0.01,0.005590911548368849,0.005555555555555556,0.25607
2096,125.0,535000,0.01,0.008108972261557495,0.008,0.25599
32,95.0,535000,0.02,0.01138330619932579,0.010526315789473684,0.25608
2096,15.0,535000,0.19,0.05758351913615508,0.06666666666666667,0.25598
2096,160.0,535000,0.01,0.0064005923364171815,0.00625,0.25598
32,155.0,535000,0.02,0.006548869101990254,0.0064516129032258064,0.25602
2096,130.0,535000,0.01,0.008180833060775246,0.007692307692307693,0.25597
128,105.0,535000,0.02,0.008449109366707992,0.009523809523809525,0.25588
