nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov
32,25.0,5350000,0.36,0.028069729745209077,0.04,2.26298,18.85196,0.03620392673327193,0.003796073266728073,0.09490183166820182
32,70.0,5350000,0.2,0.01183969625319059,0.014285714285714285,2.26301,18.02935,0.013822649150737606,0.00046306513497668,0.0324145594483676
1,195.0,5350000,0.0,0.005342108922502507,0.005128205128205128,NaN,0,0.005128205128205128,0.0,0.0
1,90.0,5350000,0.0,0.011574601897355041,0.011111111111111112,NaN,0,0.011111111111111112,0.0,0.0
2096,15.0,5350000,0.65,0.02541243342201754,0.06666666666666667,2.263,30.73483,0.06613064737711594,0.0005360192895507237,0.008040289343260855
1,160.0,5350000,0.0,0.006510671413640599,0.00625,NaN,0,0.00625,0.0,0.0
512,20.0,5350000,0.56,0.020808269631009926,0.05,2.263,26.0297,0.049133881634855686,0.0008661183651443182,0.017322367302886364
8,20.0,5350000,0.26,0.035122163665770464,0.05,2.26299,9.72376,0.042121149821428575,0.00787885017857143,0.1575770035714286
128,50.0,5350000,0.32,0.01622397917100658,0.02,2.26296,19.69853,0.019666027761774514,0.0003339722382254863,0.016698611911274315
8,30.0,5350000,0.24,0.028831970734396428,0.03333333333333333,2.26289,9.75111,0.02982177288690476,0.003511560446428571,0.10534681339285713
2096,175.0,5350000,0.21,0.004606833481949782,0.005714285714285714,2.26299,27.91398,0.005710709053219447,3.5766610662673346e-06,0.0006259156865967836
2096,150.0,5350000,0.16,0.0064850894038355564,0.006666666666666667,2.26299,28.10303,0.006661765462991611,4.901203675056175e-06,0.0007351805512584262
1,20.0,5350000,0.0,0.05208672439611954,0.05,NaN,0,0.05,0.0,0.0
8,50.0,5350000,0.12,0.018657579679059778,0.02,2.26345,9.69691,0.018742864882142857,0.0012571351178571428,0.06285675589285714
8,125.0,5350000,0.07,0.0077063029312233276,0.008,2.26309,9.19546,0.007809259886857143,0.00019074011314285715,0.023842514142857145
8,130.0,5350000,0.05,0.0070888854074585,0.007692307692307693,2.26303,9.13943,0.00751703227546492,0.0001752754168427726,0.022785804189560437
2096,35.0,5350000,0.41,0.0160763924446743,0.02857142857142857,2.263,28.65729,0.02847963100851589,9.179756291268053e-05,0.0032129147019438185
1,45.0,5350000,0.0,0.023149327049062685,0.022222222222222223,NaN,0,0.022222222222222223,0.0,0.0
32,145.0,5350000,0.06,0.005879279115718794,0.006896551724137931,2.26281,17.52801,0.006791632589093247,0.00010491913504468381,0.015213274581479154
128,55.0,5350000,0.25,0.013418459308932915,0.01818181818181818,2.2631,19.73807,0.017905254044519765,0.0002765641372984157,0.015211027551412865
512,105.0,5350000,0.2,0.0077239044027799875,0.009523809523809525,2.26298,23.72978,0.00949516225720935,2.864726660017446e-05,0.003007962993018318
128,105.0,5350000,0.16,0.006826207887246336,0.009523809523809525,2.26306,19.47897,0.009448922952261192,7.488657154833245e-05,0.007863090012574906
