nodes,interval,blocksize,SBR,throughput
200,70000,5350000,0.2,62.87
200,60000,5350000,0.22,60.66
200,100000,5350000,0.17,42.27
200,245000,5350000,0.07,21.64
200,10000,5350000,0.67,177.78
200,95000,5350000,0.19,45.19
200,110000,5350000,0.13,43.49
200,50000,5350000,0.27,78.8
200,135000,5350000,0.14,32.67
200,180000,5350000,0.07,26.93
200,80000,5350000,0.19,54.07
200,165000,5350000,0.1,31.53
200,90000,5350000,0.19,50.97
200,235000,5350000,0.09,20.28
200,270000,5350000,0.07,19.23
200,130000,5350000,0.13,36.69
200,215000,5350000,0.08,23.93
200,260000,5350000,0.08,17.93
200,200000,5350000,0.09,24.61
200,35000,5350000,0.33,101.24
200,290000,5350000,0.08,16.76
200,65000,5350000,0.25,60.47
200,190000,5350000,0.08,25.92
200,175000,5350000,0.1,28.5
200,155000,5350000,0.13,31.82
200,280000,5350000,0.04,16.48
200,210000,5350000,0.09,21.81
200,160000,5350000,0.11,29.47
200,275000,5350000,0.06,19.22
200,185000,5350000,0.09,25.62
200,265000,5350000,0.07,18.38
200,295000,5350000,0.07,17.52
200,150000,5350000,0.13,32.05
200,140000,5350000,0.12,32.39
200,30000,5350000,0.4,113.15
200,195000,5350000,0.08,25.48
200,220000,5350000,0.07,23.2
200,20000,5350000,0.51,136.28
200,55000,5350000,0.25,66.88
200,250000,5350000,0.11,20.37
200,15000,5350000,0.56,154.89
200,25000,5350000,0.44,120.37
200,205000,5350000,0.09,23.27
200,145000,5350000,0.13,32.74
200,240000,5350000,0.1,16.89
200,45000,5350000,0.31,78.34
200,75000,5350000,0.19,56.9
200,105000,5350000,0.14,39.52
200,5000,5350000,0.79,214.16
200,225000,5350000,0.07,23.31
200,40000,5350000,0.34,90.32
200,115000,5350000,0.15,39.87
200,125000,5350000,0.16,40.07
200,285000,5350000,0.06,17.3
200,255000,5350000,0.08,19.29
200,170000,5350000,0.1,26.9
200,85000,5350000,0.21,52.12
200,230000,5350000,0.11,21.64
200,120000,5350000,0.17,35.71
