nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov,throughput_simple,waste_rate_simple,SBR_simple
128,10.0,5350000,0.63,0.03403595951755957,0.1,2.26303,22.83241,0.0903223856402204,0.009677614359779608,0.09677614359779607,-2.1832409999999998,2.283241,22.832409999999996
8,170.0,5350000,0.01,0.0053443706701578955,0.0058823529411764705,2.26302,9.25493,0.00577856093703658,0.00010379200413989123,0.01764464070378151,-0.04855841176470588,0.05444076470588235,9.25493
32,5.0,5350000,0.75,0.05176198330352526,0.2,2.26296,27.03474,0.0639055915314056,0.1360944084685944,0.680472042342972,-5.206948,5.406948,27.03474
128,65.0,5350000,0.23,0.011840643411090444,0.015384615384615385,2.26291,19.81111,0.015185869267010746,0.00019874611760464,0.0129184976443016,-0.2894016923076923,0.3047863076923077,19.81111
2096,145.0,5350000,0.2,0.00659467610479125,0.006896551724137931,2.26298,28.01113,0.006891323830463939,5.227893673991382e-06,0.0007580445827287505,-0.1862836551724138,0.19318020689655174,28.01113
8,85.0,5350000,0.14,0.010896028354080822,0.011764705882352941,2.26303,9.27831,0.011348489059565002,0.00041621682278793854,0.03537842993697478,-0.09739188235294116,0.1091565882352941,9.27831
128,90.0,5350000,0.1,0.00870076065529953,0.011111111111111112,2.26301,19.73076,0.01100786460767161,0.00010324650343950113,0.009292185309555102,-0.20811955555555559,0.21923066666666668,19.73076
1,50.0,5350000,0.0,0.020834401096389524,0.02,NaN,0,0.02,0.0,0.0,0.02,0.0,0.0
8,110.0,5350000,0.1,0.00990221071805386,0.00909090909090909,2.26274,9.29384,0.008841966948051947,0.00024894214285714277,0.027383635714285707,-0.07539854545454544,0.08448945454545453,9.29384
2096,155.0,5350000,0.15,0.005571711972578262,0.0064516129032258064,2.26297,27.93704,0.006447049917450776,4.562985775030565e-06,0.0007072627951297376,-0.17378735483870966,0.18023896774193546,27.937039999999996
32,145.0,5350000,0.08,0.0056049645637325386,0.006896551724137931,2.2627,16.80548,0.006795957508045475,0.0001005942160924562,0.01458616133340615,-0.10900331034482758,0.1158998620689655,16.80548
128,190.0,5350000,0.1,0.004535876012373507,0.005263157894736842,2.26299,19.10923,0.005240721527320649,2.243636741619261e-05,0.004262909809076596,-0.09531173684210525,0.1005748947368421,19.10923
